images\000000000000.tif labels\000000000000.tif
images\000000000703.tif labels\000000000703.tif
images\000000000704.tif labels\000000000704.tif
images\000000000705.tif labels\000000000705.tif
images\000000000706.tif labels\000000000706.tif
images\000000000707.tif labels\000000000707.tif
images\000000000708.tif labels\000000000708.tif
images\000000000709.tif labels\000000000709.tif
images\000000000792.tif labels\000000000792.tif
images\000000000793.tif labels\000000000793.tif
images\000000000794.tif labels\000000000794.tif
images\000000000795.tif labels\000000000795.tif
images\000000000796.tif labels\000000000796.tif
images\000000000797.tif labels\000000000797.tif
images\000000000798.tif labels\000000000798.tif
images\000000000799.tif labels\000000000799.tif
images\000000000800.tif labels\000000000800.tif
images\000000000801.tif labels\000000000801.tif
images\000000000802.tif labels\000000000802.tif
images\000000000803.tif labels\000000000803.tif
images\000000000804.tif labels\000000000804.tif
images\000000000805.tif labels\000000000805.tif
images\000000000806.tif labels\000000000806.tif
images\000000000807.tif labels\000000000807.tif
images\000000000808.tif labels\000000000808.tif
images\000000000809.tif labels\000000000809.tif
images\000000000810.tif labels\000000000810.tif
images\000000000811.tif labels\000000000811.tif
images\000000000812.tif labels\000000000812.tif
images\000000000813.tif labels\000000000813.tif
images\000000000814.tif labels\000000000814.tif
images\000000000815.tif labels\000000000815.tif
images\000000000816.tif labels\000000000816.tif
images\000000000817.tif labels\000000000817.tif
images\000000000818.tif labels\000000000818.tif
images\000000000819.tif labels\000000000819.tif
images\000000000820.tif labels\000000000820.tif
images\000000000821.tif labels\000000000821.tif
images\000000000822.tif labels\000000000822.tif
images\000000000823.tif labels\000000000823.tif
images\000000000824.tif labels\000000000824.tif
images\000000000825.tif labels\000000000825.tif
images\000000000826.tif labels\000000000826.tif
images\000000000827.tif labels\000000000827.tif
images\000000000924.tif labels\000000000924.tif
images\000000000925.tif labels\000000000925.tif
images\000000000926.tif labels\000000000926.tif
images\000000000927.tif labels\000000000927.tif
images\000000000928.tif labels\000000000928.tif
images\000000000929.tif labels\000000000929.tif
images\000000000930.tif labels\000000000930.tif
images\000000000931.tif labels\000000000931.tif
images\000000000932.tif labels\000000000932.tif
images\000000000933.tif labels\000000000933.tif
images\000000000934.tif labels\000000000934.tif
images\000000000935.tif labels\000000000935.tif
images\000000000936.tif labels\000000000936.tif
images\000000000937.tif labels\000000000937.tif
images\000000000938.tif labels\000000000938.tif
images\000000000939.tif labels\000000000939.tif
images\000000000940.tif labels\000000000940.tif
